Site ,Date,Replicate,Species ID,# of Flowering Units
GT3,16/7/25,5,84,7
GT3,16/7/25,5,116,67
GT3,16/7/25,5,117,5
GT3,16/7/25,5,141,6
GT3,16/7/25,5,119,10
DN2,18/7/25,5,122,1
DN2,18/7/25,5,21,1
DT2,18/7/25,5,122,28
DT2,18/7/25,5,68,25
DT2,18/7/25,5,134,2
DP2,18/7/25,5,124,336
